(lat:37.2476875,lng:127.0764003)
(lat:37.2476877,lng:127.0765206)
(lat:37.2476879,lng:127.0766409)
(lat:37.2476879,lng:127.0766409)
(lat:37.247688,lng:127.0767612)
(lat:37.2476882,lng:127.0768815)
(lat:37.2476884,lng:127.0770018)
(lat:37.2476886,lng:127.077122)
(lat:37.2476888,lng:127.0772423)
(lat:37.2476888,lng:127.0772423)
(lat:37.247689,lng:127.0773626)
(lat:37.2476891,lng:127.0774829)
(lat:37.2476893,lng:127.0776032)
(lat:37.2476895,lng:127.0777235)
(lat:37.247691,lng:127.0786859)
(lat:37.2476912,lng:127.0788062)
(lat:37.2476906,lng:127.0784453)
(lat:37.2476906,lng:127.0784453)
(lat:37.2476908,lng:127.0785656)
(lat:37.2476897,lng:127.0778438)
(lat:37.2476964,lng:127.0789277)
(lat:37.2476899,lng:127.0779641)
(lat:37.2477014,lng:127.0790491)
(lat:37.2477014,lng:127.0790491)
(lat:37.2477103,lng:127.0791703)
(lat:37.2476725,lng:127.0797641)
(lat:37.2477575,lng:127.0795303)
(lat:37.2476897,lng:127.0778438)
(lat:37.2476725,lng:127.0797641)
(lat:37.2477232,lng:127.0792908)
(lat:37.2477401,lng:127.0794106)
(lat:37.2477446,lng:127.0799881)
(lat:37.2477864,lng:127.0800971)
(lat:37.2476901,lng:127.0780844)
(lat:37.247706,lng:127.0798774)
(lat:37.2478309,lng:127.0802043)
(lat:37.2478309,lng:127.0802043)
(lat:37.2474372,lng:127.0808897)
(lat:37.2479737,lng:127.0805199)
(lat:37.2474988,lng:127.0809627)
(lat:37.2476437,lng:127.0796487)
(lat:37.2478777,lng:127.0803101)
(lat:37.2474988,lng:127.0809627)
(lat:37.2475467,lng:127.0810501)
(lat:37.2476902,lng:127.0782047)
(lat:37.2476904,lng:127.078325)
(lat:37.2475715,lng:127.0811511)
(lat:37.2479256,lng:127.080415)
(lat:37.2475825,lng:127.0812562)
(lat:37.2475825,lng:127.0812562)
(lat:37.2475825,lng:127.0812562)
(lat:37.2475825,lng:127.0812562)
(lat:37.2475825,lng:127.0812562)
(lat:37.2475825,lng:127.0812562)
(lat:37.2475825,lng:127.0812562)
(lat:37.2475825,lng:127.0812562)
(lat:37.2475825,lng:127.0812562)
(lat:37.2475825,lng:127.0812562)
(lat:37.2485284,lng:127.0817933)
(lat:37.2485745,lng:127.0818996)
(lat:37.2486213,lng:127.0820053)
(lat:37.2486679,lng:127.0821112)
(lat:37.2487143,lng:127.0822172)
(lat:37.2487143,lng:127.0822172)
(lat:37.2487608,lng:127.0823232)
(lat:37.2488071,lng:127.0824293)
(lat:37.248852,lng:127.0825363)
(lat:37.2489106,lng:127.0827222)
(lat:37.2489106,lng:127.0827222)
(lat:37.2489514,lng:127.0828203)
(lat:37.2489922,lng:127.0829183)
(lat:37.2489922,lng:127.0829183)
(lat:37.2490331,lng:127.0830164)
(lat:37.2490739,lng:127.0831145)
(lat:37.2491147,lng:127.0832125)
(lat:37.2491556,lng:127.0833106)
(lat:37.2491964,lng:127.0834087)
(lat:37.2492373,lng:127.0835067)
(lat:37.2492373,lng:127.0835067)
(lat:37.2492786,lng:127.0836045)
(lat:37.2493209,lng:127.0837016)
(lat:37.2475447,lng:127.0763966)
(lat:37.2475474,lng:127.0765174)
(lat:37.2475497,lng:127.0766382)
(lat:37.247552,lng:127.076759)
(lat:37.247552,lng:127.076759)
(lat:37.2475525,lng:127.0768799)
(lat:37.247553,lng:127.0770007)
(lat:37.2475539,lng:127.0771216)
(lat:37.2475542,lng:127.0772424)
(lat:37.2475542,lng:127.0772424)
(lat:37.247553,lng:127.0773633)
(lat:37.247553,lng:127.0774841)
(lat:37.247553,lng:127.077605)
(lat:37.247553,lng:127.0777259)
(lat:37.247553,lng:127.0778467)
(lat:37.247553,lng:127.0778467)
(lat:37.2475525,lng:127.0779676)
(lat:37.2475511,lng:127.0780884)
(lat:37.2475509,lng:127.0782093)
(lat:37.247552,lng:127.0783301)
(lat:37.247552,lng:127.078451)
(lat:37.247552,lng:127.078451)
(lat:37.247552,lng:127.0785718)
(lat:37.247552,lng:127.0786927)
(lat:37.247552,lng:127.0788136)
(lat:37.2475533,lng:127.0789344)
(lat:37.2475586,lng:127.0790551)
(lat:37.2475586,lng:127.0790551)
(lat:37.2475675,lng:127.0791754)
(lat:37.2475804,lng:127.0792951)
(lat:37.2475985,lng:127.0794138)
(lat:37.2476192,lng:127.0795319)
(lat:37.2476437,lng:127.0796487)
(lat:37.2476437,lng:127.0796487)
(lat:37.2476725,lng:127.0797641)
(lat:37.247706,lng:127.0798774)
(lat:37.2477446,lng:127.0799881)
(lat:37.2478309,lng:127.0802043)
(lat:37.2477446,lng:127.0799881)
(lat:37.2478777,lng:127.0803101)
(lat:37.2477864,lng:127.0800971)
(lat:37.2478777,lng:127.0803101)
(lat:37.2474372,lng:127.0808897)
(lat:37.2474372,lng:127.0808897)
(lat:37.2474372,lng:127.0808897)
(lat:37.2474988,lng:127.0809627)
(lat:37.2475467,lng:127.0810501)
(lat:37.2475715,lng:127.0811511)
(lat:37.2475715,lng:127.0811511)
(lat:37.2475825,lng:127.0812562)
(lat:37.2475825,lng:127.0812562)
(lat:37.2475825,lng:127.0812562)
(lat:37.2475825,lng:127.0812562)
(lat:37.2475825,lng:127.0812562)
(lat:37.2475825,lng:127.0812562)
(lat:37.2475825,lng:127.0812562)
(lat:37.2475825,lng:127.0812562)
(lat:37.2475825,lng:127.0812562)
(lat:37.2475825,lng:127.0812562)
(lat:37.2475825,lng:127.0812562)
(lat:37.2486213,lng:127.0820053)
(lat:37.2486213,lng:127.0820053)
(lat:37.2486679,lng:127.0821112)
(lat:37.2487143,lng:127.0822172)
(lat:37.2487608,lng:127.0823232)
(lat:37.2488071,lng:127.0824293)
(lat:37.248852,lng:127.0825363)
(lat:37.2489106,lng:127.0827222)
(lat:37.2489106,lng:127.0827222)
(lat:37.2489106,lng:127.0827222)
(lat:37.2489514,lng:127.0828203)
(lat:37.2489922,lng:127.0829183)
(lat:37.2490331,lng:127.0830164)
(lat:37.2490739,lng:127.0831145)
(lat:37.2491147,lng:127.0832125)
(lat:37.2491147,lng:127.0832125)
(lat:37.2491556,lng:127.0833106)
(lat:37.2491964,lng:127.0834087)
(lat:37.2492373,lng:127.0835067)
(lat:37.2492786,lng:127.0836045)
(lat:37.2493209,lng:127.0837016)
(lat:37.2475447,lng:127.0763966)
(lat:37.2475474,lng:127.0765174)
(lat:37.2475497,lng:127.0766382)
(lat:37.247552,lng:127.076759)
(lat:37.247552,lng:127.076759)
(lat:37.2475525,lng:127.0768799)
(lat:37.2475539,lng:127.0771216)
(lat:37.2475542,lng:127.0772424)
(lat:37.2474257,lng:127.0772852)
(lat:37.247553,lng:127.0773633)
(lat:37.247553,lng:127.0774841)
(lat:37.247553,lng:127.077605)
(lat:37.247553,lng:127.0777259)
(lat:37.247553,lng:127.0778467)
(lat:37.247553,lng:127.0778467)
(lat:37.2475525,lng:127.0779676)
(lat:37.2475511,lng:127.0780884)
(lat:37.247553,lng:127.0770007)
(lat:37.247552,lng:127.0783301)
(lat:37.2474672,lng:127.0784039)
(lat:37.247552,lng:127.078451)
(lat:37.247552,lng:127.0785718)
(lat:37.247552,lng:127.0786927)
(lat:37.247552,lng:127.0788136)
(lat:37.2475533,lng:127.0789344)
(lat:37.2475586,lng:127.0790551)
(lat:37.2475586,lng:127.0790551)
